insurer,sub_fund,fee_source_page,fee_source_locator,fee_source_url,fee_source_metric,fee_as_of_date,fee_verification_status,fee_verification_note
Etiqa,Baillie Gifford Worldwide Asia ex Japan Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/d6f5aba1e0071b8cf2fb8a579746f5e4.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF d6f5aba1e0071b8cf2fb8a579746f5e4.pdf
Etiqa,Baillie Gifford Worldwide Health Innovation Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/9ed804f49972d6b445f915e46a08046e.pdf,https://www.etiqa.com.sg/wp-content/uploads/2022/03/RP-ILP-Baillie-Gifford-Worldwide-Health-Innovation-Fund-PHS-Final.pdf,Management Fee,,verified_exact,Verified against archived PDF 9ed804f49972d6b445f915e46a08046e.pdf
Etiqa,Baillie Gifford Worldwide Long Term Global Growth Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/d7998440b6086698363ff4ad4820d3ea.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF d7998440b6086698363ff4ad4820d3ea.pdf
Etiqa,BlackRock Global Funds (“BGF”) ESG Global Bond Income Fund,9,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/fa7d75509b0bda042e640935d36e9812.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF fa7d75509b0bda042e640935d36e9812.pdf
Etiqa,BlackRock Global Funds (“BGF”) ESG Multi-Asset Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/771071af8ecc3108d94d7349d9a9c46e.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 771071af8ecc3108d94d7349d9a9c46e.pdf
Etiqa,BlackRock Global Funds (“BGF”) European Equity Income Fund,1,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,BlackRock Global Funds (“BGF”) Global Bond Income Fund,9,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/fa7d75509b0bda042e640935d36e9812.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF fa7d75509b0bda042e640935d36e9812.pdf
Etiqa,BlackRock Global Funds (“BGF”) World Technology Fund,1,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,Capital Group American Balanced Fund,7,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,30 June 2025,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,Eastspring Asian Low Volatility Equity Fund - Class A SDM,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/d6f5aba1e0071b8cf2fb8a579746f5e4.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF d6f5aba1e0071b8cf2fb8a579746f5e4.pdf
Etiqa,Eastspring Japan Dynamic Fund,7,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,30 June 2025,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,Emerging Markets Bond Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/db70bfaced587a2f00898e46a57d6a0e.pdf,https://www.etiqa.com.sg/wp-content/uploads/2022/03/Tiq-Invest-Product-Highlights-Sheet-Emerging-Markets-Bond-Fund.pdf,Management Fee,,verified_exact,Verified against archived PDF db70bfaced587a2f00898e46a57d6a0e.pdf
Etiqa,FSSA Dividend Advantage Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/59667a960145bbf423925a1325f7290d.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 59667a960145bbf423925a1325f7290d.pdf
Etiqa,FSSA REGIONAL INDIA FUND - CLASS A (ACC) SGD,4,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/94e47a820527f92d534b55d9ce32239f.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 94e47a820527f92d534b55d9ce32239f.pdf
Etiqa,FSSA Regional China Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/d6f5aba1e0071b8cf2fb8a579746f5e4.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF d6f5aba1e0071b8cf2fb8a579746f5e4.pdf
Etiqa,Fidelity Funds - Global Technology Fund A-ACC-SGD,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/db70bfaced587a2f00898e46a57d6a0e.pdf,https://www.etiqa.com.sg/wp-content/uploads/2022/03/Tiq-Invest-Product-Highlights-Sheet-Emerging-Markets-Bond-Fund.pdf,Management Fee,,verified_exact,Verified against archived PDF db70bfaced587a2f00898e46a57d6a0e.pdf
Etiqa,First Sentier Bridge Fund,4,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/ae0cf8811274898c682d88df50c38365.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF ae0cf8811274898c682d88df50c38365.pdf
Etiqa,Franklin Shariah Technology Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/79deadc857db2e107d2399c1c4937ddb.pdf,https://www.etiqa.com.sg/wp-content/uploads/2023/08/FSSA_RegionalChina_PHS.pdf,Management Fee,,verified_exact,Verified against archived PDF 79deadc857db2e107d2399c1c4937ddb.pdf
Etiqa,Fullerton Asia Absolute Alpha Fund,7,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,30 June 2025,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,Fullerton SGD Income Fund,9,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/fa7d75509b0bda042e640935d36e9812.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF fa7d75509b0bda042e640935d36e9812.pdf
Etiqa,Fundsmith Equity Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/d6f5aba1e0071b8cf2fb8a579746f5e4.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF d6f5aba1e0071b8cf2fb8a579746f5e4.pdf
Etiqa,Global Investment Grade Credit Fund,1,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,Lion-BIBDS Islamic Enhanced Liquidity Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/8f9e5fd6c357b04db5e805a46bded680.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 8f9e5fd6c357b04db5e805a46bded680.pdf
Etiqa,LionGlobal Infinity Global Stock Index Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/a2439df11a96570a7f28b13bca656a59.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF a2439df11a96570a7f28b13bca656a59.pdf
Etiqa,LionGlobal Singapore Dividend Equity Fund,4,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/3f520d0056d1d290b4ec25d4a3da28b0.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 3f520d0056d1d290b4ec25d4a3da28b0.pdf
Etiqa,LionGlobal Singapore Trust Fund,4,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/ae0cf8811274898c682d88df50c38365.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF ae0cf8811274898c682d88df50c38365.pdf
Etiqa,MAMG Global Sukuk Income-I,9,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/fa7d75509b0bda042e640935d36e9812.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF fa7d75509b0bda042e640935d36e9812.pdf
